keyword,categoria,volumen_mensual,competencia_pago,indice_competencia_pago,puja_baja_ars,puja_alta_ars
shorts de futbol,Indumentaria deportiva,1900,HIGH,100,48.92,312.24
bambas nike running,Indumentaria deportiva,1900,HIGH,100,31.25,181.7
conjuntos de futbol,Indumentaria deportiva,1900,LOW,21,63.46,253.67
remera deporte,Indumentaria deportiva,1900,HIGH,100,123.73,968.83
zapatillas resortes,Indumentaria deportiva,1900,MEDIUM,48,41.51,231.09
medias de futbol,Futbol,1900,HIGH,99,34.17,330.65
camisetas retro futbol,Futbol,1900,HIGH,82,37.47,337.74
pelota mundial 2022,Futbol,1900,MEDIUM,36,31.31,156.19
camisetas futbol retro,Futbol,1900,HIGH,82,37.47,337.74
botines futbol,Futbol,1900,HIGH,100,42.86,261.81
botines borussia,Futbol,1900,HIGH,100,101.31,285.97
camiseta de boca juniors,Futbol,1900,HIGH,71,32.14,156.19
botines futbol 5 adidas,Futbol,1900,HIGH,100,31.74,146.71
camiseta retro futbol,Futbol,1900,HIGH,82,37.47,337.74
botines futsal adidas,Futbol,1900,HIGH,100,40.69,150.99
camisetas de boca juniors,Futbol,1900,HIGH,71,32.14,156.19
predator botines,Futbol,1900,MEDIUM,63,40.53,109.6
botines f50 adidas,Futbol,1900,HIGH,100,37.05,161.83
f50 botines,Futbol,1900,HIGH,87,40.69,155.77
pelota del mundial 2006,Futbol,1900,LOW,6,33.04,284.66
pelotas mundial 2022,Futbol,1900,MEDIUM,36,31.31,156.19
remeras de independiente,Futbol,1900,HIGH,100,74.59,5640.94
selección holanda,Futbol,1900,LOW,1,7.71,234.36
cyber monday zapatillas,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,155.77,245.58
zapatillas converse hombre,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,27.95,208.96
zapatillas para mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,36.01,339.66
zapatillas tenis,Tenis,1900,HIGH,100,73.21,377.58
zapatillas bebe,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,62.01,354.69
zapatillas under armour mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,23.02,153.97
zapatillas de vestir mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,58.7,323.54
zapatillas cat,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,19.76,210.48
zapatillas urbanas mujer vestir,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,61.58,280.89
zapatillas training mujer,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1900,HIGH,100,47.57,261.18
paleta adidas,Padel,1900,HIGH,100,70.99,279.56
pelota basquet,Basquet,1900,HIGH,90,40.13,344.14
red de voley,Voley,1900,HIGH,100,36.07,492.14
guantes boxeo,Boxeo,1900,HIGH,100,32.47,323.42
gorro de natacion,Natacion,1900,HIGH,100,22.46,154.21
ril de pesca,Pesca,1900,HIGH,97,14.13,148.01
náutica el anzuelo,Pesca,1900,LOW,12,65.85,262.75
bastones de trekking,Trekking/Camping,1900,HIGH,100,57.26,470.75
mochila trekking,Trekking/Camping,1900,HIGH,100,80.83,517.62
carpa para 6 personas,Trekking/Camping,1900,HIGH,100,28.68,271.35
baston de trekking,Trekking/Camping,1900,HIGH,100,57.26,470.75
trekking mochilas,Trekking/Camping,1900,HIGH,100,80.83,517.62
trekkinn mochilas,Trekking/Camping,1900,HIGH,100,80.83,517.62
camiseta del real madrid,Camisetas de clubes/selecciones,1900,LOW,33,26.77,191.53
camiseta argentina mujer,Camisetas de clubes/selecciones,1900,HIGH,100,43.01,211.98
camiseta argentina original,Camisetas de clubes/selecciones,1900,HIGH,100,26.64,135.72
adidas river plate,Camisetas de clubes/selecciones,1900,HIGH,100,22.69,145.39
barcelona camiseta,Camisetas de clubes/selecciones,1900,LOW,28,37.56,224.44
remera original de argentina,Camisetas de clubes/selecciones,1900,HIGH,100,22.76,135.72
camiseta de entrenamiento de argentina,Camisetas de clubes/selecciones,1900,HIGH,75,36.03,155.2
remera de independiente,Camisetas de clubes/selecciones,1900,HIGH,100,74.59,5640.94
camiseta de boca blanca,Camisetas de clubes/selecciones,1900,MEDIUM,55,46.41,157.35
camisa argentina mujer,Camisetas de clubes/selecciones,1900,HIGH,100,43.01,211.98
camiseta de san lorenzo nueva,Camisetas de clubes/selecciones,1900,HIGH,100,69.9,466.16
escudos de la selección argentina,Camisetas de clubes/selecciones,1900,LOW,10,8.45,45.02
quemador de grasa natural,Suplementos,1600,HIGH,100,43.66,400.78
vitaminas supradyn,Suplementos,1600,HIGH,100,50.7,580.05
creatina monohidrato micronizada,Suplementos,1600,HIGH,100,70.21,458.37
para q sirve la creatina en mujeres,Suplementos,1600,MEDIUM,41,5.37,103.83
ropa deportiva hombre,Indumentaria deportiva,1600,HIGH,100,127.36,962.13
conjunto nike hombre,Indumentaria deportiva,1600,HIGH,100,25.67,211.89
zapatillas de running,Indumentaria deportiva,1600,HIGH,100,45.13,236.99
buzo puma hombre,Indumentaria deportiva,1600,HIGH,100,54.34,146.62
i run zapatillas,Indumentaria deportiva,1600,HIGH,98,17.61,158.64
marcas de ropa deportiva,Indumentaria deportiva,1600,HIGH,67,103.93,588.64
mayorista ropa deportiva,Indumentaria deportiva,1600,HIGH,100,194.96,965.55
jordan ropa,Indumentaria deportiva,1600,HIGH,79,28.65,263.06
remeras lacoste,Indumentaria deportiva,1600,HIGH,100,74.81,772.1
zapatillas 361,Indumentaria deportiva,1600,HIGH,100,33.56,200.67
buzo vans,Indumentaria deportiva,1600,HIGH,100,56.89,472.74
pantalon jogging mujer,Indumentaria deportiva,1600,HIGH,100,78.32,732.48
pantalón puma hombre,Indumentaria deportiva,1600,HIGH,100,52.21,145.23
nike zapatillas mujer blancas,Indumentaria deportiva,1600,HIGH,100,28.13,157.72
buzos vans,Indumentaria deportiva,1600,HIGH,100,56.89,472.74
nike con resortes,Indumentaria deportiva,1600,MEDIUM,61,30.01,171.9
vans remeras,Indumentaria deportiva,1600,HIGH,100,58.69,563.46
pumas nitro,Indumentaria deportiva,1600,HIGH,100,74.81,1345.76
buzos boca,Indumentaria deportiva,1600,HIGH,100,45.44,191.09
zapatillas con resorte nike,Indumentaria deportiva,1600,MEDIUM,51,28.67,167.27
camiseta de messi,Futbol,1600,HIGH,68,44.11,156.05
camisetas de futbol retro,Futbol,1600,MEDIUM,59,39.22,329.18
camiseta inter de miami,Futbol,1600,HIGH,73,43.9,247.96
botines de futbol 5,Futbol,1600,HIGH,100,31.69,184.26
botines de futbol 11,Futbol,1600,HIGH,99,32.76,167.46
pelota adidas,Futbol,1600,HIGH,100,31.15,145.39
adidas seleccion argentina,Futbol,1600,HIGH,100,13.25,84.82
camisetas de messi,Futbol,1600,HIGH,68,44.11,156.05
botines f5,Futbol,1600,HIGH,100,40.6,169.41
botines futbol 5 nike,Futbol,1600,HIGH,100,29.28,176.39
camiseta de barcelona,Futbol,1600,LOW,30,33.86,201.52
camisetas retro de futbol,Futbol,1600,MEDIUM,59,39.22,329.18
camiseta del chelsea,Futbol,1600,LOW,24,23.92,125.94
pelota puma,Futbol,1600,HIGH,100,52.29,505.67
remera independiente,Futbol,1600,HIGH,99,82.63,12351.95
borussia dortmund camiseta,Futbol,1600,MEDIUM,42,49.51,238.29
camiseta de arquero,Futbol,1600,MEDIUM,42,46.83,217.63
napoli camiseta,Futbol,1600,MEDIUM,40,34.95,214.19
modelos de camisetas de futbol,Futbol,1600,LOW,17,60.79,157.32
camiseta del tottenham,Futbol,1600,MEDIUM,42,39.94,211.0
seleccion argentina adidas,Futbol,1600,HIGH,100,13.25,84.82
camiseta del napoli,Futbol,1600,MEDIUM,40,34.95,214.19
camisetas del chelsea,Futbol,1600,LOW,24,23.92,125.94
camiseta del borussia dortmund,Futbol,1600,MEDIUM,42,49.51,238.29
botin f5,Futbol,1600,HIGH,100,40.6,169.41
botin sacachispas,Futbol,1600,LOW,9,17.51,104.45
camiseta del torino,Futbol,1600,LOW,8,37.76,195.74
camisetas de chacarita,Futbol,1600,MEDIUM,52,47.26,445.44
la nueva camiseta de boca,Futbol,1600,LOW,26,15.76,78.63
pelota de futbol en png,Futbol,1600,LOW,0,0.0,0.0
remeras nfl,Futbol,1600,HIGH,88,40.72,280.97
selección de fútbol de camerún,Futbol,1600,LOW,0,0.0,0.0
zapatillas de padel hombre,Padel,1600,HIGH,100,88.28,385.2
zapatillas de padel mujer,Padel,1600,HIGH,100,72.82,270.03
zapatillas padel asics,Padel,1600,HIGH,100,71.38,392.7
zapatillas para padel,Padel,1600,HIGH,100,66.41,269.56
pala de padel adidas,Padel,1600,HIGH,100,63.36,259.24
paleta nox,Padel,1600,HIGH,100,66.45,339.44
zapatillas asic padel,Padel,1600,HIGH,100,71.38,392.7
zapatillas basquet nike,Basquet,1600,HIGH,100,39.96,200.95
zapas basquet nike,Basquet,1600,HIGH,100,39.96,200.95
zapatillas de voley mujer,Voley,1600,HIGH,100,27.8,254.36
zapatilla de voley mujer,Voley,1600,HIGH,100,27.8,254.36
cinta caminadora electrica,Atletismo/Running,1600,HIGH,100,163.52,3169.9
canilleras hockey,Hockey (cesped),1600,HIGH,100,42.49,319.25
hockey canilleras,Hockey (cesped),1600,HIGH,100,42.49,319.25
botines de rugby,Rugby,1600,HIGH,100,40.73,166.89
botines rugby,Rugby,1600,HIGH,100,48.94,166.35
saco pie boxeo,Boxeo,1600,HIGH,97,16.52,254.36
caja de pesca,Pesca,1600,HIGH,100,26.27,358.64
carretes,Pesca,1600,LOW,4,33.34,733.17
reel huevito,Pesca,1600,HIGH,100,16.99,208.79
caja de pescadores,Pesca,1600,HIGH,100,26.27,358.64
carpas para playa,Trekking/Camping,1600,HIGH,100,44.39,349.32
carpa para 2 personas,Trekking/Camping,1600,HIGH,100,24.42,254.36
carpa canadiense,Trekking/Camping,1600,HIGH,87,35.9,251.99
bolsa de dormir de bebe,Trekking/Camping,1600,HIGH,100,86.39,586.13
carpa para 2 persona,Trekking/Camping,1600,HIGH,100,24.42,254.36
real madrid camiseta,Camisetas de clubes/selecciones,1600,MEDIUM,39,38.34,208.04
adidas boca juniors,Camisetas de clubes/selecciones,1600,HIGH,100,32.94,149.47
remera entrenamiento argentina,Camisetas de clubes/selecciones,1600,HIGH,100,40.96,156.19
remera de boca original,Camisetas de clubes/selecciones,1600,HIGH,99,27.0,155.77
remera argentina mujer,Camisetas de clubes/selecciones,1600,HIGH,100,48.38,300.43
la nueva camiseta de argentina,Camisetas de clubes/selecciones,1600,LOW,31,20.79,99.61
remera san lorenzo,Camisetas de clubes/selecciones,1600,HIGH,100,78.4,648.63
ultima camiseta de boca,Camisetas de clubes/selecciones,1600,HIGH,78,30.67,155.77
racing camiseta,Camisetas de clubes/selecciones,1600,HIGH,73,59.52,294.2
camiseta azul de argentina,Camisetas de clubes/selecciones,1600,HIGH,70,38.42,135.59
remera de racing,Camisetas de clubes/selecciones,1600,HIGH,87,39.66,225.56
camiseta argentina 2014,Camisetas de clubes/selecciones,1600,LOW,19,37.67,290.27
remera real madrid,Camisetas de clubes/selecciones,1600,MEDIUM,52,33.25,187.66
atletico madrid camiseta,Camisetas de clubes/selecciones,1600,HIGH,70,48.87,230.58
camiseta de argentina alternativa,Camisetas de clubes/selecciones,1600,HIGH,76,43.16,135.72
camiseta de barça,Camisetas de clubes/selecciones,1600,LOW,30,33.86,201.52
camiseta suplente de argentina,Camisetas de clubes/selecciones,1600,HIGH,70,40.95,135.72
camiseta argentina manga larga,Camisetas de clubes/selecciones,1600,HIGH,100,40.9,198.26
adidas boca jr,Camisetas de clubes/selecciones,1600,HIGH,100,32.94,149.47
atlético madrid camiseta,Camisetas de clubes/selecciones,1600,HIGH,70,48.87,230.58
camiseta argentina 2010,Camisetas de clubes/selecciones,1600,LOW,20,31.91,229.02
camiseta de boca retro,Camisetas de clubes/selecciones,1600,MEDIUM,64,26.43,156.19
camiseta river violeta,Camisetas de clubes/selecciones,1600,MEDIUM,66,55.27,195.21
la camiseta nueva de river,Camisetas de clubes/selecciones,1600,LOW,29,9.42,75.46
remera del real madrid,Camisetas de clubes/selecciones,1600,MEDIUM,52,33.25,187.66
colageno con magnesio,Suplementos,1300,HIGH,100,52.05,461.08
proteina whey isolate,Suplementos,1300,HIGH,100,78.96,409.05
proteina isolate whey,Suplementos,1300,HIGH,100,78.96,409.05
curflex precio,Suplementos,1300,HIGH,100,19.02,167.79
quelat multivitaminico,Suplementos,1300,HIGH,100,43.86,248.39
para q sirve el colageno hidrolizado,Suplementos,1300,MEDIUM,65,8.64,271.2
whey isolate proteina,Suplementos,1300,HIGH,100,78.96,409.05
creatina gentech,Suplementos,1300,HIGH,100,38.39,271.15
creatina ena monohidrato,Suplementos,1300,HIGH,100,61.26,345.5
gentech proteina,Suplementos,1300,HIGH,100,50.22,322.76
whey proteina isolate,Suplementos,1300,HIGH,100,78.96,409.05
buzo deportivo,Indumentaria deportiva,1300,HIGH,100,87.19,695.08
zapatillas trail running,Indumentaria deportiva,1300,HIGH,100,81.05,355.59
alo ropa deportiva,Indumentaria deportiva,1300,HIGH,99,62.09,566.04
zapatillas nike running hombre,Indumentaria deportiva,1300,HIGH,100,31.36,176.68
zapatillas nike hombre running,Indumentaria deportiva,1300,HIGH,100,31.36,176.68
buzo nike mujer,Indumentaria deportiva,1300,HIGH,100,35.32,213.14
buzos de hombre,Indumentaria deportiva,1300,HIGH,100,85.97,615.62
buzos deportivos,Indumentaria deportiva,1300,HIGH,100,87.19,695.08
zapatillas running hombre nike,Indumentaria deportiva,1300,HIGH,100,31.36,176.68
pantalon nike mujer,Indumentaria deportiva,1300,HIGH,100,37.87,209.48
buzo champion,Indumentaria deportiva,1300,HIGH,100,42.98,253.19
conjunto puma mujer,Indumentaria deportiva,1300,HIGH,100,42.98,263.49
zapatillas blancas puma mujer,Indumentaria deportiva,1300,HIGH,100,42.31,900.55
remeras deportivas hombre,Indumentaria deportiva,1300,HIGH,100,81.16,774.01
buzo seleccion argentina,Indumentaria deportiva,1300,HIGH,100,40.9,161.68
remeras nike mujer,Indumentaria deportiva,1300,HIGH,100,42.65,276.95
zapatillas adizero,Indumentaria deportiva,1300,HIGH,100,48.97,146.86
zapatillas i run,Indumentaria deportiva,1300,HIGH,99,15.18,179.01
olympikus zapatillas hombre,Indumentaria deportiva,1300,HIGH,100,20.08,161.28
conjunto de la selección argentina,Indumentaria deportiva,1300,MEDIUM,66,17.68,90.17
remeras de egresados jardin,Indumentaria deportiva,1300,LOW,11,45.06,276.9
camiseta manchester city,Futbol,1300,HIGH,92,60.95,323.43
guantes de arquero adidas,Futbol,1300,HIGH,100,31.17,155.2
zapatillas futbol 5,Futbol,1300,HIGH,100,33.24,178.26
camiseta juventus,Futbol,1300,MEDIUM,52,62.9,184.89
medias antideslizantes futbol,Futbol,1300,HIGH,100,89.58,578.48
camiseta ajax,Futbol,1300,LOW,20,52.09,347.61
chelsea camiseta,Futbol,1300,LOW,33,38.95,193.34
botines de 11,Futbol,1300,HIGH,99,22.25,155.48
camiseta napoli maradona,Futbol,1300,MEDIUM,61,38.86,241.02
ajax camiseta,Futbol,1300,LOW,20,52.09,347.61
camiseta man city,Futbol,1300,HIGH,92,60.95,323.43
camiseta maradona napoli,Futbol,1300,MEDIUM,61,38.86,241.02
botines adidas messi,Futbol,1300,HIGH,100,45.95,145.39
pelota de la champions,Futbol,1300,MEDIUM,39,21.51,155.77
camiseta del ajax,Futbol,1300,LOW,20,52.09,347.61
botas pumas,Futbol,1300,HIGH,100,63.47,795.35
camiseta de rosario central,Futbol,1300,MEDIUM,53,24.93,155.77
camiseta de flamengo,Futbol,1300,LOW,15,44.19,206.64
remera de messi,Futbol,1300,HIGH,68,41.07,157.32
camiseta de independiente nueva,Futbol,1300,HIGH,95,79.64,4302.03
pelota del mundial 2018,Futbol,1300,LOW,7,11.9,135.98
camiseta noruega,Futbol,1300,LOW,26,49.04,253.95
boca juniors remera,Futbol,1300,HIGH,100,40.54,157.32
camiseta de gimnasia de la plata,Futbol,1300,HIGH,70,39.91,266.04
camiseta de lanus,Futbol,1300,MEDIUM,51,25.05,155.77
camiseta del aston villa,Futbol,1300,LOW,30,40.69,161.5
camiseta del napoli maradona,Futbol,1300,MEDIUM,61,38.86,241.02
camiseta lanus,Futbol,1300,HIGH,68,36.02,185.71
camisetas de flamengo,Futbol,1300,LOW,15,44.19,206.64
maradona newells,Futbol,1300,LOW,3,7.95,43.45
pelota de los mundiales,Futbol,1300,MEDIUM,42,8.82,150.91
pelota del mundial 2010,Futbol,1300,LOW,11,10.09,122.11
remera chelsea,Futbol,1300,MEDIUM,48,31.22,182.85
selección de fútbol de gabón,Futbol,1300,LOW,0,0.0,0.0
smash padel,Padel,1300,LOW,33,99.86,610.76
eva padel,Padel,1300,LOW,4,217.05,415.35
zapatillas de basquet adidas,Basquet,1300,HIGH,99,54.51,179.73
zapatillas adidas basquet,Basquet,1300,HIGH,100,73.21,297.82
zapas de basquet adidas,Basquet,1300,HIGH,99,54.51,179.73
pelota de voley precio,Voley,1300,HIGH,99,10.96,115.06
pelota de volleyball precio,Voley,1300,HIGH,99,10.96,115.06
palo hockey,Hockey (cesped),1300,HIGH,100,50.57,302.76
palos hockey,Hockey (cesped),1300,HIGH,100,50.57,302.76
hockey palo,Hockey (cesped),1300,HIGH,100,50.57,302.76
bucal boxeo,Boxeo,1300,HIGH,99,14.16,186.28
bolsa de boxeo precio,Boxeo,1300,HIGH,100,13.74,148.56
zapatillas de trekking mujer,Trekking/Camping,1300,HIGH,100,56.18,400.94
carpa playera,Trekking/Camping,1300,HIGH,100,32.8,345.89
carpa autoarmable,Trekking/Camping,1300,HIGH,100,47.54,404.05
camiseta alternativa argentina,Camisetas de clubes/selecciones,1300,HIGH,99,50.61,166.45
camisetas atletico de madrid,Camisetas de clubes/selecciones,1300,MEDIUM,39,39.04,161.13
remera adidas argentina,Camisetas de clubes/selecciones,1300,HIGH,100,42.75,131.71
camiseta argentina 86,Camisetas de clubes/selecciones,1300,HIGH,91,41.13,190.0
remera boca juniors,Camisetas de clubes/selecciones,1300,HIGH,100,40.54,157.32
camiseta de river negra,Camisetas de clubes/selecciones,1300,MEDIUM,50,40.95,157.35
ultima camiseta de river,Camisetas de clubes/selecciones,1300,HIGH,68,18.94,155.77
camiseta alternativa de river,Camisetas de clubes/selecciones,1300,HIGH,69,45.77,157.58
nueva remera de argentina,Camisetas de clubes/selecciones,1300,MEDIUM,63,40.53,111.09
remera de san lorenzo,Camisetas de clubes/selecciones,1300,HIGH,100,72.59,492.51
camiseta river suplente,Camisetas de clubes/selecciones,1300,HIGH,91,47.8,164.05
boca camiseta retro,Camisetas de clubes/selecciones,1300,HIGH,70,40.68,160.34
camiseta de argentina 2006,Camisetas de clubes/selecciones,1300,MEDIUM,56,43.44,194.51
camiseta de boca rosa,Camisetas de clubes/selecciones,1300,LOW,16,29.31,157.35
camiseta de boca todas,Camisetas de clubes/selecciones,1300,LOW,6,39.67,156.19
camiseta de river retro,Camisetas de clubes/selecciones,1300,MEDIUM,64,30.67,157.32
camiseta de river violeta,Camisetas de clubes/selecciones,1300,MEDIUM,49,44.3,156.19
camiseta racing nike,Camisetas de clubes/selecciones,1300,HIGH,100,47.36,404.97
remera nueva de argentina,Camisetas de clubes/selecciones,1300,HIGH,67,37.52,155.77
creapure,Suplementos,1000,HIGH,100,98.42,566.04
monohidrato de creatina,Suplementos,1000,HIGH,100,51.02,440.76
multivitaminico mujer,Suplementos,1000,HIGH,100,76.8,452.93
proteina de suero,Suplementos,1000,HIGH,100,36.53,283.28
centrum silver mujer,Suplementos,1000,HIGH,100,62.91,252.52
centrum mujer para que sirve,Suplementos,1000,MEDIUM,41,88.95,243.75
bcaa que es,Suplementos,1000,HIGH,82,51.2,373.79
ganadores de peso,Suplementos,1000,HIGH,100,38.16,245.97
proteina gold nutrition,Suplementos,1000,HIGH,100,60.55,398.35
ultraflex hmb 3000,Suplementos,1000,HIGH,100,45.84,225.93
gold nutrition proteína,Suplementos,1000,HIGH,100,60.55,398.35
supradyn para qué sirve,Suplementos,1000,LOW,27,118.02,476.76
remera deportiva,Indumentaria deportiva,1000,HIGH,100,109.64,809.09
puma running,Indumentaria deportiva,1000,HIGH,100,59.49,1231.83
camiseta termica mujer,Indumentaria deportiva,1000,HIGH,100,77.19,775.95
pantalon trekking mujer,Indumentaria deportiva,1000,HIGH,100,89.01,699.16
adidas running hombre,Indumentaria deportiva,1000,HIGH,100,44.63,146.86
zapatillas impermeables,Indumentaria deportiva,1000,HIGH,100,78.91,502.66
zapatillas saucony mujer,Indumentaria deportiva,1000,HIGH,100,29.06,243.73
tienda de ropa deportiva,Indumentaria deportiva,1000,HIGH,88,70.93,708.51
conjunto deportivo adidas,Indumentaria deportiva,1000,HIGH,100,39.92,153.66
nike shorts mujer,Indumentaria deportiva,1000,HIGH,100,37.29,231.84
zapatillas puma mujer running,Indumentaria deportiva,1000,HIGH,100,41.74,696.56
conjunto deportivo adidas hombre,Indumentaria deportiva,1000,HIGH,100,42.44,165.21
pantalon jordan hombre,Indumentaria deportiva,1000,HIGH,100,50.88,325.54
calza biker mujer,Indumentaria deportiva,1000,HIGH,100,92.57,469.28
conjunto deportivo mujer adidas,Indumentaria deportiva,1000,HIGH,100,47.69,196.25
calzas ciclismo hombre,Indumentaria deportiva,1000,HIGH,100,59.21,471.12
buzo de mujer,Indumentaria deportiva,1000,HIGH,100,86.63,778.45
conjunto boca juniors,Indumentaria deportiva,1000,HIGH,100,31.41,162.9
conjunto de mujer,Indumentaria deportiva,1000,HIGH,93,83.01,867.83
zapatillas adidas adizero,Indumentaria deportiva,1000,HIGH,100,44.99,146.83
mallas de hombre,Indumentaria deportiva,1000,HIGH,100,143.54,810.42
calzas ciclismo mujer,Indumentaria deportiva,1000,HIGH,100,57.14,487.1
pantalones puma mujer,Indumentaria deportiva,1000,HIGH,100,57.99,133.98
remeras uv,Indumentaria deportiva,1000,HIGH,100,131.71,674.99
jogging hombre adidas,Indumentaria deportiva,1000,HIGH,100,46.23,160.67
remeras blancas,Indumentaria deportiva,1000,HIGH,95,101.01,524.05
buzo de la selección argentina,Indumentaria deportiva,1000,HIGH,100,22.42,126.28
zapas deportivas,Indumentaria deportiva,1000,HIGH,100,42.47,236.05
pantalones de jogging,Indumentaria deportiva,1000,HIGH,99,72.23,498.64
remeras tascani,Indumentaria deportiva,1000,HIGH,86,64.82,717.04
pelota del mundial 2022,Futbol,1000,LOW,25,24.98,156.19
guantes arquero,Futbol,1000,HIGH,100,42.09,201.44
camiseta de cristiano ronaldo,Futbol,1000,LOW,33,44.89,333.17
botines papi futbol,Futbol,1000,HIGH,100,37.52,179.79
guantes de arquero profesionales,Futbol,1000,HIGH,100,39.89,184.31
arsenal camiseta,Futbol,1000,LOW,24,49.86,157.76
botines copa,Futbol,1000,HIGH,92,47.29,157.32
pelotas del mundial 2022,Futbol,1000,LOW,25,24.98,156.19
pelota de futsal,Futbol,1000,HIGH,99,17.96,158.71
botines phantom,Futbol,1000,HIGH,81,51.57,192.85
pelotas de futsal,Futbol,1000,HIGH,99,17.96,158.71
camisetas de futbol argentino,Futbol,1000,HIGH,83,52.07,269.33
camisetas de la juventus,Futbol,1000,LOW,17,42.15,162.26
botines grasep,Futbol,1000,HIGH,68,14.76,157.32
botines f50 messi,Futbol,1000,HIGH,100,63.53,204.27
camisa de juventus,Futbol,1000,LOW,17,42.15,162.26
camiseta de boca 2001,Futbol,1000,LOW,28,50.61,185.95
camiseta maradona 94,Futbol,1000,MEDIUM,44,44.54,239.4
mini pelota mundial,Futbol,1000,HIGH,100,40.77,214.73
pelotas de padel,Padel,1000,HIGH,100,44.67,276.99
asics padel,Padel,1000,HIGH,100,80.17,477.67
grip padel,Padel,1000,HIGH,100,36.1,289.87
pala padel adidas,Padel,1000,HIGH,100,72.13,303.9
zapatillas bullpadel,Padel,1000,HIGH,100,74.85,292.79
zapatillas joma padel,Padel,1000,HIGH,100,52.95,271.0
zapatillas oc,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1000,HIGH,100,38.95,211.04
deportivas padel,Padel,1000,LOW,11,47.2,391.82
vaypol zapatillas,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1000,HIGH,100,70.57,2227.71
paleta babolat,Padel,1000,HIGH,100,50.66,332.5
paletas babolat,Padel,1000,HIGH,100,50.66,332.5
grippadel,Padel,1000,HIGH,100,36.1,289.87
adidas basquet,Basquet,1000,HIGH,100,52.34,284.87
zapas de basquet,Basquet,1000,HIGH,100,53.74,254.36
zapa de basquet,Basquet,1000,HIGH,100,53.74,254.36
zapatillas asics voley,Voley,1000,HIGH,100,27.16,221.34
asics voley,Voley,1000,HIGH,100,28.14,259.08
pelota de voley mikasa,Voley,1000,HIGH,100,19.53,182.69
pelota mikasa voley,Voley,1000,HIGH,99,21.3,160.58
pelotas mikasa de voley,Voley,1000,HIGH,100,19.53,182.69
voley asics,Voley,1000,HIGH,100,28.14,259.08
zapatilla con taco,Calzado/ropa deportiva generica de marca (descartar - ultra competido),1000,HIGH,100,53.39,535.52
cinta para caminar,Atletismo/Running,1000,HIGH,100,204.01,2441.57
cintes de caminar,Atletismo/Running,1000,HIGH,100,188.71,3158.79
palo de hockey precio,Hockey (cesped),1000,HIGH,99,16.11,125.72
palo de hockey precios,Hockey (cesped),1000,HIGH,99,16.11,125.72
pelota rugby,Rugby,1000,HIGH,89,34.36,200.96
mma guantes,Boxeo,1000,HIGH,100,31.86,382.22
guantes proyec,Boxeo,1000,HIGH,100,33.23,198.45
antiparras arena,Natacion,1000,HIGH,99,45.01,325.21
natacion arena,Natacion,1000,HIGH,99,66.67,636.34
anzuelos de pesca,Pesca,1000,HIGH,97,14.8,249.55
lele pesca,Pesca,1000,LOW,20,20.1,89.92
botas trekking mujer,Trekking/Camping,1000,HIGH,100,79.65,463.23
zapatillas para trekking,Trekking/Camping,1000,HIGH,100,46.07,406.59
bolsa de dormir termica,Trekking/Camping,1000,HIGH,100,41.25,379.53
camiseta de messi argentina,Camisetas de clubes/selecciones,1000,MEDIUM,63,39.2,159.63
campera de boca adidas,Camisetas de clubes/selecciones,1000,HIGH,100,32.68,146.86
adidas remera argentina,Camisetas de clubes/selecciones,1000,HIGH,100,27.76,131.71
indumentaria boca juniors,Camisetas de clubes/selecciones,1000,HIGH,100,30.94,157.35
camisa de argentina messi,Camisetas de clubes/selecciones,1000,MEDIUM,63,39.2,159.63
remera de river original,Camisetas de clubes/selecciones,1000,HIGH,100,21.73,155.2
camiseta de futbol argentina,Camisetas de clubes/selecciones,1000,HIGH,83,52.07,269.33
remera argentina original,Camisetas de clubes/selecciones,1000,HIGH,100,30.67,155.77
camiseta boca blanca,Camisetas de clubes/selecciones,1000,HIGH,74,55.49,201.97
camiseta river negra,Camisetas de clubes/selecciones,1000,HIGH,73,73.11,192.49
camiseta argentina 2018,Camisetas de clubes/selecciones,1000,LOW,16,33.02,215.81
argentina remera,Camisetas de clubes/selecciones,1000,HIGH,81,40.95,155.77
camiseta de boca alternativa,Camisetas de clubes/selecciones,1000,HIGH,90,40.69,200.92
argentina 2006 camiseta,Camisetas de clubes/selecciones,1000,HIGH,75,65.1,247.1
camiseta alterna de boca,Camisetas de clubes/selecciones,1000,HIGH,90,40.69,200.92
camiseta argentina 1998,Camisetas de clubes/selecciones,1000,LOW,19,31.41,212.26
camiseta argentina 2002,Camisetas de clubes/selecciones,1000,LOW,12,48.64,377.32
camiseta argentina 94,Camisetas de clubes/selecciones,1000,MEDIUM,52,45.57,231.08
camiseta boca 2000,Camisetas de clubes/selecciones,1000,LOW,12,35.3,183.58
